code accident;date;heure;d‚partement;commune;massif;site;latitude;longitude;altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1617-74-03;28/04/2017;;74;avoriaz;chablais;;;;;;;;1;1;1;0;0;0;1;0;randonn‚e;ski;;;;;;;;;;;;
1516-04-01;05/03/2016;16:40;04;enchastrayes;ubaye;les roubines / super sauze;44.20521;6.40454;1970;40-44;N;2;2;0;0;0;1;0;1;1;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;70;40;40;;;
1516-05-01;16/01/2016;12:00;05;les orres;embrunnais-parpaillon;tˆte de la mazeliŠre / rocher marcelinas;;;;;;2;1;0;0;0;1;0;1;0;randonn‚e;ski;mont‚e;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-05-02;14/02/2016;12:30;05;Vars;embrunnais-parpaillon;chagnon de peinier;;;;;;2;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-05-03;23/02/2016;13:00;05;ceillac;queyras;vallon ste anne;44.37146;6.48645;2520;35-39;NE;20;3;1;1;0;0;1;0;2;randonn‚e;ski;descente;3;humide;tendre;lin‚aire;accidentelle soi-mˆme;80;;60;;;
1516-05-04;24/04/2016;;05;pelvoux;pelvoux;coup de sabre;;;;>45;NO;2;2;0;0;0;0;0;0;2;alpinisme;… pieds;;;;;;;;;;;;
1516-38-01;13/01/2016;15:45;38;mont de lans;oisans;piste noire de Bellecombe / montagne de Rachas;44.594159;6.92808;2690;35-39;NE;11;5;4;3;1;0;3;1;1;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle tiers;370;100;200;;;
1516-38-02;05/03/2016;12:00;38;les adrets;belledonne;;;;;;;2;2;0;0;0;0;0;2;0;hors-piste;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-38-03;07/03/2016;11:45;38;la ferriŠre;belledonne;combe perdue;;;;;;1;1;1;0;1;0;0;1;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle tiers;;;;;;
1516-38-04;24/04/2016;11:00;38;laval;belledonne;cime de la jasse est;;;2300;30-34;SE;9;5;3;2;1;1;0;0;5;randonn‚e;ski;mont‚e;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-63-01;01/05/2016;12:00;63;mont dore;mont dore;cascade de la dore;;;;;N;2;1;1;1;0;0;0;1;0;randonn‚e;ski;;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-65-01;08/03/2016;;65;bagnŠres de bigorre;haute bigorre;col d'aouet;;;;;NO;5;2;1;1;0;1;0;1;1;randonn‚e;ski;;;;;;;;;;;;
1516-65-02;22/03/2016;17:35;65;bareges;haute bigorre;entr‚e vallon dets coubous;42.53382;0.64411;1850;>45;O;15;15;0;0;0;3;0;6;9;randonn‚e;raquettes;travers‚e;2;humide;tendre;lin‚aire;naturelle;300;10;40;;;
1516-65-03;17/04/2016;08:30;65;bagnŠres de bigorre;haute bigorre;couloir des poubelles pic du midi (couloir nord est);42.561926;0.085307;2360;40-44;NE;3;3;0;0;0;3;2;1;0;alpinisme;… pieds;mont‚e;3;;;;;;;;;;
1516-66-01;20/03/2016;11:00;66;porta;capcir puymorens;roc des isards;;;;;;4;4;0;0;0;0;0;1;3;randonn‚e;… pieds;;3;humide;;;accidentelle soi-mˆme;;;;;;
1516-68-01;13/02/2016;14:15;68;stockersohn;ballon des vosges;secteur col des perches;;;;;;8;1;0;0;0;0;0;0;1;randonn‚e;raquettes;travers‚e;;;;;naturelle;;;;;;
1516-73-01;05/01/2016;13:58;73;saint colomban les villards;maurienne;pierre du turc / crˆte de tˆte bellard;45.1509;6.1326;2150;40-44;NO;2;1;1;1;0;0;1;0;0;hors-piste;ski;descente;4;;;lin‚aire;accidentelle soi-mˆme;290;50;;;;
