code accident;date;heure;d‚partement;commune;massif;site;"coordonn‚es
zone d‚part";altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1516-73-14;06/02/2016;14:35;73;landry;vanoise;couloir NO aiguille grive;;;;;3;1;0;0;0;1;0;1;0;hors-piste;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-73-15;13/02/2016;12:55;73;la perriŠre;vanoise;les lanches;"45ø24'40"" / 6ø35""55""";2150;40-44;N;1;1;1;0;1;0;1;0;0;hors-piste;ski;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;380;50;;;;
1516-73-16;15/02/2016;16:25;73;bonneval sur arc;haute maurienne;pointe d'andagne;"45ø20'55.78"" / 7ø3'31.19""";3000;40-44;O;4;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;125;150;100;;;
1516-73-17;15/03/2016;14:15;73;saint martin belleville;vanoise;face SE cochet;;1700;;;2;2;0;0;0;0;0;0;2;randonn‚e;ski;mont‚e;;;;;;;;;;;
1516-73-18;05/04/2016;10:30;73;bessans;haute maurienne;piste noire de fond Barmette / couloir issu pointe de Tierce;"45ø18'57"" / 7ø0'21""";1970;35-39;NO;12;7;0;0;0;3;0;2;5;piste;ski;arrˆt;3;humide;tendre;lin‚aire;naturelle;220;30;120;;;
1516-73-19;19/04/2016;13:05;73;tignes;haute tarentaise;rocher de la grande balme;;2880;40-44;N;4;1;0;0;0;1;0;1;0;hors-piste;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;280;40;80;;;
1516-74-01;03/01/2016;12:45;74;chamonix;mont blanc;petite verte grand montets;"45ø56'40.4"" / 6ø57'46.5";3390;30-34;N;3;3;1;0;1;1;2;0;1;alpinisme;… pieds;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;290;40;50;;;
1516-74-02;11/01/2016;;74;chamonix;mont blanc;route col des montets;;;;;1;1;0;0;0;0;0;0;1;voie de communication;;;4;;;;naturelle;;;;;;
1516-74-03;13/01/2016;13:35;74;morzine;chablais;secteur arare;;2255;40-44;NO;5;1;0;0;0;0;0;1;0;piste;ski;descente;3;sŠche;dure;lin‚aire;naturelle;110;60;250;;;
1516-74-04;30/01/2016;09:57;74;la clusaz;aravis;combe du grand crˆt / tˆte pelouse;"45ø54'34.9"" / 6ø30'36.9""";2500;40-44;NO;2;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;440;150;150;;;
